Pose Number,EEx err,EEy err,EEz err,Abs err
1,[ 2.04299977],[  2.07502553e-07],[ 1.30112579],2.4221429330851914
2,[ 2.05660493],[ 0.08541953],[ 1.28080118],2.424329180219976
3,[ 2.05568425],[ 0.16370756],[ 1.25906333],2.4161701869739582
4,[ 2.03941749],[ 0.23497326],[ 1.23477788],2.3956444973225492
5,[ 2.00710945],[ 0.29943534],[ 1.20691388],2.3610995265281809
6,[ 1.95825843],[ 0.35738162],[ 1.17460837],2.3113205201814151
7,[ 1.89262133],[ 0.40912896],[ 1.13721415],2.245586344340663
8,[ 1.81026645],[ 0.45498491],[ 1.09433444],2.1637106506855233
9,[ 1.7116067],[ 0.49521258],[ 1.04584241],2.0660637313118246
10,[ 1.59740744],[ 0.53000036],[ 0.99188482],1.9535727332064852
1,[ 1.59754462],[ 0.53002605],[ 0.9918563],1.953677389934974
2,[ 1.34106014],[ 0.68336114],[ 0.94681603],1.7781691027283535
3,[ 1.04802554],[ 0.83308055],[ 0.89549703],1.6106817350151377
4,[ 0.7267843],[ 0.9769137],[ 0.83803348],1.4781325740157472
5,[ 0.38617152],[ 1.11235674],[ 0.77467661],1.4094643701026406
6,[ 0.09771638],[ 1.21550625],[ 0.71840677],1.4153134719459315
7,[-0.1931665],[ 1.3094697],[ 0.65862683],1.4784496895648027
8,[-0.4511565],[ 1.38412334],[ 0.60256322],1.5755703887565788
9,[-0.70477105],[ 1.44885394],[ 0.54413156],1.7005761177230696
10,[-0.8925887],[ 1.49051288],[ 0.49841491],1.8074182260806271
11,[-1.07545492],[ 1.52524345],[ 0.45156818],1.9201262145978897
12,[-1.224689],[ 1.54868467],[ 0.41141306],2.0168163178575154
13,[-1.36933689],[ 1.56661498],[ 0.37059716],2.1134588425455574
14,[-1.45662258],[ 1.57478929],[ 0.34501029],2.1727270297563313
15,[-1.54188997],[ 1.58069535],[ 0.31920975],2.2311246817770289
16,[-1.6250537],[ 1.58428424],[ 0.29321094],2.2883899877916569
17,[-1.7060344],[ 1.58551186],[ 0.26702931],2.3442921913333454
1,[ 2.04300337],[ 0.00016852],[ 1.30110804],2.4221364398003979
2,[ 2.05851384],[-0.03146311],[ 1.2873084],2.4280922742257474
3,[ 2.07300306],[-0.06534025],[ 1.27407877],2.4341092338710992
4,[ 2.08649725],[-0.10132196],[ 1.26215874],2.4406518789146623
5,[ 2.09900908],[-0.13910125],[ 1.25216252],2.4480807327748413
6,[ 2.11053929],[-0.1782192],[ 1.24452969],2.4566221427827983
7,[ 2.12108004],[-0.21808993],[ 1.23949025],2.4663494959534584
8,[ 2.13010544],[-0.25578318],[ 1.23711766],2.4765367643207656
9,[ 2.13822532],[-0.29292866],[ 1.2368694],2.487500877816252
10,[ 2.14542358],[-0.32890449],[ 1.23838517],2.4989234313227269
11,[ 2.15167992],[-0.36311625],[ 1.24114958],2.5103848685498042
12,[ 2.15696743],[-0.39503319],[ 1.24451769],2.5213853331228449
13,[ 2.16125055],[-0.42422381],[ 1.24774583],2.5313710535824407
14,[ 2.16415411],[-0.44741539],[ 1.249829],2.5388611740513598
15,[ 2.16621075],[-0.46816284],[ 1.25061069],2.5447342844919336
16,[ 2.16738436],[-0.48647725],[ 1.24952819],2.5486340987200093
17,[ 2.16764177],[-0.50249055],[ 1.24604639],2.5502547290715385
18,[ 2.16695802],[-0.5164612],[ 1.23968044],2.5493620407968014
19,[ 2.16532179],[-0.52877475],[ 1.23001866],2.5458136367684197
20,[ 2.15765958],[-0.55469783],[ 1.19202886],2.5266810916881948
21,[ 2.14523871],[-0.58348408],[ 1.13240937],2.4949656881955833
22,[ 2.1350049],[-0.6092779],[ 1.08296817],2.4702804582959308
23,[ 2.12348423],[-0.64417416],[ 1.02780133],2.4455104150230143
24,[ 2.11594637],[-0.67102045],[ 0.99271567],2.4316623725937498
25,[ 2.10802225],[-0.70267959],[ 0.9574038],2.4195326914844517
26,[ 2.10333153],[-0.72304036],[ 0.93749629],2.4136466546214508
27,[ 2.09850395],[-0.74510516],[ 0.91794748],2.4086361504404201
28,[ 2.09542637],[-0.75974538],[ 0.90602536],2.4060146860320399
29,[ 2.09228898],[-0.77505295],[ 0.89434232],2.4037945899839332
1,[ 2.0922],[-0.77516393],[ 0.8941413],2.4036781399777323
2,[ 1.97341308],[-0.37940539],[ 0.88707623],2.1966364912973551
3,[ 1.80503614],[ 0.09279065],[ 0.87267282],2.0070683655270152
4,[ 1.6035282],[ 0.54071546],[ 0.86562012],1.9007824989344952
5,[ 1.39194791],[ 0.87254202],[ 0.88724194],1.8670958253992149
6,[ 1.24821309],[ 1.01541894],[ 0.94056894],1.863808321070872
7,[ 1.09706622],[ 1.03080796],[ 1.02519976],1.821305543117363
8,[ 0.72939214],[ 0.7896009],[ 1.11171276],1.5464112483967087
9,[-1.80718803],[-1.71455627],[ 1.51133665],2.9137210366568804
10,[-2.0714967],[-2.31621657],[ 1.64708733],3.5169382197989316
11,[-2.08271278],[-2.49615007],[ 1.68426005],3.6613098190551194
12,[-2.06240268],[-2.58100099],[ 1.69806096],3.7146307959980551
13,[-2.02139939],[-2.6497655],[ 1.70767524],3.7447920409593456
14,[-2.02225308],[-2.64699447],[ 1.71700867],3.747560004415714
15,[-2.02016563],[-2.63864038],[ 1.7262863],3.7448039476125237
16,[-2.01480286],[-2.62426126],[ 1.7354714],3.7360458656912034
17,[-2.00573632],[-2.60329711],[ 1.74451898],3.7206828029694741
18,[-1.98017282],[-2.54471016],[ 1.75963728],3.6732761356584667
19,[-1.93468757],[-2.45448469],[ 1.77348637],3.5934335892209632
20,[-1.85670372],[-2.31640952],[ 1.78493187],3.4639693363243245
21,[-1.71609162],[-2.0920945],[ 1.79135258],3.2451153907683188
22,[-1.38565473],[-1.61112945],[ 1.78033872],2.7722523548117439
23,[-0.49797432],[-0.48752201],[ 1.71732937],1.8533419247425424
24,[ 0.97719652],[ 1.01626888],[ 1.58935669],2.1245635223967856
25,[ 1.5958537],[ 1.51906652],[ 1.53505807],2.6852775261891866
26,[ 1.66940244],[ 1.5982758],[ 1.52724124],2.7701725308937837
27,[ 1.6532774],[ 1.62786976],[ 1.53039977],2.7794621018155716
28,[ 1.60890425],[ 1.64636119],[ 1.53708537],2.7679793128187389
29,[ 1.55400129],[ 1.66293825],[ 1.54477939],2.750750262140313
30,[ 1.43099883],[ 1.70813567],[ 1.54951926],2.7141287848844726
31,[ 1.31116202],[ 1.76383627],[ 1.55110771],2.690018463952164
32,[ 1.19456979],[ 1.82661542],[ 1.54814047],2.6758661784758626
33,[ 1.08099417],[ 1.89456818],[ 1.53964094],2.6699122102199904
34,[ 0.84686656],[ 2.06113758],[ 1.49462522],2.6831652311057019
35,[ 0.63679962],[ 2.24245477],[ 1.40910966],2.7239139483466732
36,[ 0.44256945],[ 2.41948059],[ 1.28986857],2.7773215497123784
37,[ 0.2473991],[ 2.56533383],[ 1.15287116],2.8233412607953818
38,[ 0.03830384],[ 2.66067212],[ 1.00707444],2.845143626256478
39,[-0.18972599],[ 2.68866083],[ 0.86138011],2.8296410884868841
40,[-0.43930394],[ 2.64104163],[ 0.72105061],2.7727248046117929
41,[-0.70965692],[ 2.51520874],[ 0.59056741],2.6793017368476497
42,[-0.84795157],[ 2.42614635],[ 0.53169333],2.624482001574183
43,[-0.98961952],[ 2.31985094],[ 0.47647197],2.5667256774693934
44,[-1.13383236],[ 2.19734937],[ 0.42523322],2.5089327170706825
45,[-1.27963953],[ 2.05990448],[ 0.37824491],2.4543335093631544
46,[-1.34907775],[ 1.98988249],[ 0.35748366],2.4305221000768729
47,[-1.41851902],[ 1.91699668],[ 0.33774049],2.4085558193768901
48,[-1.48783997],[ 1.84142695],[ 0.31902648],2.3887860719789957
49,[-1.55691404],[ 1.76336052],[ 0.30134853],2.3715464579995946
50,[-1.5756598],[ 1.74170063],[ 0.29670874],2.3673320380736453
51,[-1.59437503],[ 1.71987403],[ 0.29214601],2.363334024861631
52,[-1.61305707],[ 1.69788474],[ 0.28766031],2.3595580473040654
53,[-1.63170327],[ 1.67573681],[ 0.28325161],2.3560095283028728
54,[-1.65031096],[ 1.6534343],[ 0.2789198],2.3526936736972637
55,[-1.66887747],[ 1.63098131],[ 0.2746648],2.3496154615133795
56,[-1.68740012],[ 1.60838197],[ 0.27048648],2.346779631534015
57,[-1.70587621],[ 1.5856404],[ 0.26638468],2.3441906752347017
1,[ 2.04290886],[ 0.00017713],[ 1.30119987],2.4221060540650599
2,[ 2.0589982],[-0.04965355],[ 1.3004535],2.4357993268958333
